Kachelname,Aktualitaet,Erfassungsmethode,Fortfuehrung,Fortfuehrungsmethode,Aufloesung,Koordinatenreferenzsystem_Lage,Koordinatenreferenzsystem_Hoehe,Hoehenanomalie,Unnamed: 9
3dm_32_287_5656_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_287_5657_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_287_5658_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_287_5659_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_287_5660_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_287_5661_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_288_5626_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_288_5627_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_288_5628_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_288_5629_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_288_5630_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_288_5631_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_288_5632_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
